RestaurantID,CountryCode,Country,City,Cuisines,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Average_Cost_for_two,Rating,Datekey_Opening,Average Ratings,Price Range
9233,1,India,Faridabad,"Mithai, Street Food",No,No,No,No,100,1,2011-01-02,1-1.99,0-200
313089,1,India,Faridabad,North Indian,No,No,No,No,550,1,2013-01-19,1-1.99,401-600
18344478,1,India,Faridabad,"North Indian, Chinese",No,No,No,No,600,1,2017-01-17,1-1.99,401-600
18292444,1,India,Faridabad,"Chinese, North Indian",No,No,No,No,600,1,2017-01-26,1-1.99,401-600
18204501,1,India,Faridabad,"North Indian, Chinese",No,No,No,No,250,3,2012-01-14,3-3.99,201-400
18126118,1,India,Faridabad,Pizza,No,Yes,No,No,550,3.4,2016-01-18,3-3.99,401-600
18265697,1,India,Faridabad,"North Indian, Chinese, Mughlai",No,No,No,No,550,3,2018-01-07,3-3.99,401-600
18337896,1,India,Faridabad,"Fast Food, Pizza",No,Yes,No,No,550,2.6,2013-01-25,2-2.99,401-600
304046,1,India,Faridabad,"Fast Food, North Indian",No,No,No,No,300,2.9,2015-12-09,2-2.99,201-400
18472646,1,India,Faridabad,North Indian,No,No,No,No,400,1,2014-12-17,1-1.99,201-400
301163,1,India,Faridabad,"Fast Food, Burger",No,No,No,No,500,3.4,2014-12-12,3-3.99,401-600
308380,1,India,Faridabad,Chinese,No,Yes,No,No,1300,4.1,2015-12-14,4-4.99,1001-2000
308963,1,India,Faridabad,Cafe,No,No,No,No,1500,1,2014-12-05,1-1.99,1001-2000
18450934,1,India,Faridabad,"North Indian, Chinese",No,No,No,No,400,1,2010-12-12,1-1.99,201-400
308957,1,India,Faridabad,"North Indian, Chinese, Italian",Yes,Yes,No,No,1500,3.1,2018-12-18,3-3.99,1001-2000
18433315,1,India,Faridabad,"North Indian, Chinese",No,No,No,No,400,1,2013-12-25,1-1.99,201-400
8029,1,India,Faridabad,"Mithai, Street Food",No,No,No,No,200,2.8,2016-12-11,2-2.99,0-200
18463990,1,India,Faridabad,Cafe,No,No,No,No,600,1,2014-12-25,1-1.99,401-600
18471246,1,India,Faridabad,Biryani,No,No,No,No,200,1,2017-12-18,1-1.99,0-200
18396398,1,India,Faridabad,"North Indian, South Indian, Chinese, Fast Food",No,No,No,No,400,1,2010-12-13,1-1.99,201-400
18367078,1,India,Faridabad,Chinese,No,No,No,No,350,1,2017-12-23,1-1.99,201-400
18469936,1,India,Faridabad,"North Indian, Chinese",No,No,No,No,500,1,2017-12-05,1-1.99,401-600
307803,1,India,Faridabad,Bakery,No,No,No,No,200,3.5,2017-12-28,3-3.99,0-200
18356019,1,India,Faridabad,"Bakery, Fast Food",No,No,No,No,200,3.1,2010-12-02,3-3.99,0-200
18471304,1,India,Faridabad,Fast Food,No,No,No,No,150,1,2010-12-05,1-1.99,0-200
312967,1,India,Faridabad,"South Indian, Chinese, North Indian",No,No,No,No,200,1,2014-12-07,1-1.99,0-200
